"module name","licenses","repository","licenseUrl","parents"
"rimraf@3.0.2","ISC","https://github.com/isaacs/rimraf","https://github.com/isaacs/rimraf/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"roboto-fontface@0.10.0","Apache-2.0","https://github.com/choffmeister/roboto-fontface-bower","https://github.com/choffmeister/roboto-fontface-bower/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"rollup@3.21.0","MIT","https://github.com/rollup/rollup","https://github.com/rollup/rollup/raw/master/LICENSE.md","neighbourhood-calculator-js-excel-addin"
"run-parallel@1.2.0","MIT","https://github.com/feross/run-parallel","https://github.com/feross/run-parallel/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"sass@1.62.1","MIT","https://github.com/sass/dart-sass","https://github.com/sass/dart-sass/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"semver@6.3.0","ISC","https://github.com/npm/node-semver","https://github.com/npm/node-semver/raw/master/LICENSE","make-dir:neighbourhood-calculator-js-excel-addin"
"semver@7.3.8","ISC","https://github.com/npm/node-semver","https://github.com/npm/node-semver/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command","https://github.com/kevva/shebang-command/raw/master/license","neighbourhood-calculator-js-excel-addin"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex","https://github.com/sindresorhus/shebang-regex/raw/master/license","neighbourhood-calculator-js-excel-addin"
"source-map-js@1.0.2","BSD-3-Clause","https://github.com/7rulnik/source-map-js","https://github.com/7rulnik/source-map-js/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map","https://github.com/mozilla/source-map/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"sourcemap-codec@1.4.8","MIT","https://github.com/Rich-Harris/sourcemap-codec","https://github.com/Rich-Harris/sourcemap-codec/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi","https://github.com/chalk/strip-ansi/raw/master/license","neighbourhood-calculator-js-excel-addin"
"strip-json-comments@3.1.1","MIT","https://github.com/sindresorhus/strip-json-comments","https://github.com/sindresorhus/strip-json-comments/raw/master/license","neighbourhood-calculator-js-excel-addin"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","neighbourhood-calculator-js-excel-addin"
